Date	Close	Open	High	Low	Volume	ROI
2016-01-04	134.24	137.12	138.08	133.75	43800	-2.4476
2016-01-05	132.79	133.75	134.72	131.83	46502	-1.0753
2016-01-06	130.39	132.79	132.79	129.91	53873	-1.8116
2016-01-07	127.98	129.42	129.91	125.58	63475	-1.845
2016-01-08	128.94	127.02	129.91	127.02	52641	0.7519
2016-01-11	127.98	127.98	129.42	125.58	48536	-0.7463
2016-01-12	127.98	127.98	128.94	126.54	35133	0.0
2016-01-13	128.46	128.46	130.39	127.98	50237	0.3759
2016-01-14	126.54	125.58	127.02	125.58	39498	-1.4981
2016-01-15	131.83	132.31	132.79	130.39	79648	4.1825
2016-01-18	131.83	129.91	132.79	129.42	37008	0.0
2016-01-19	132.79	132.31	132.79	130.87	24995	0.7299
2016-01-20	129.42	132.31	132.31	128.46	44423	-2.5362
2016-01-21	129.91	128.94	131.35	128.94	31957	0.3717
2016-01-22	133.27	131.35	133.27	130.87	33926	2.5926
2016-01-25	134.24	134.72	134.72	133.75	27213	0.722
2016-01-26	132.31	132.31	133.75	131.83	24102	-1.4337
2016-01-27	134.24	133.75	134.24	133.27	24547	1.4545
2016-01-28	134.72	132.79	135.2	132.79	37913	0.3584
2016-01-29	137.6	133.27	137.6	132.79	57557	2.1429
2016-01-30	136.64	137.12	137.6	135.68	11865	-0.6993
2016-02-01	138.57	138.57	138.57	136.16	43828	1.4085
2016-02-02	137.12	138.57	139.05	136.16	25400	-1.0417
2016-02-03	140.49	139.53	140.49	139.05	71652	2.4561
2016-02-15	139.53	136.64	140.97	136.64	77064	-0.6849
2016-02-16	141.93	140.49	142.42	140.01	56361	1.7241
2016-02-17	142.42	143.38	143.38	141.45	38486	0.33899999999999997
2016-02-18	145.3	144.34	145.3	143.86	61877	2.0269999999999997
2016-02-19	145.3	143.38	145.3	143.38	37444	0.0
2016-02-22	145.3	143.86	146.75	143.86	29751	0.0
2016-02-23	143.86	144.82	145.3	143.38	22500	-0.9934
2016-02-24	142.42	143.86	144.82	141.45	22082	-1.0033
2016-02-25	144.82	143.38	145.3	142.9	25233	1.6892
2016-02-26	143.38	145.3	145.78	142.42	46425	-0.9967
2016-03-01	146.26	142.9	146.26	142.9	44046	2.0134
2016-03-02	147.23	148.19	148.67	147.23	36101	0.6579
2016-03-03	148.19	148.19	148.67	147.23	28867	0.6536
2016-03-04	146.75	147.23	147.71	145.78	37794	-0.9740000000000001
2016-03-07	146.26	146.75	147.71	145.3	24052	-0.3279
2016-03-08	146.26	145.3	146.26	143.86	40643	0.0
2016-03-09	147.23	146.26	147.23	144.82	24634	0.6579
2016-03-10	148.67	147.23	148.67	145.78	31343	0.9804
2016-03-11	149.15	148.67	149.15	147.23	31297	0.3236
2016-03-14	150.11	150.59	151.56	149.63	32987	0.6452
2016-03-15	148.67	149.15	150.59	147.23	29437	-0.9615
2016-03-16	150.11	149.63	150.11	148.19	31126	0.9709
2016-03-17	152.52	153.48	153.96	151.56	52228	1.6026
2016-03-18	153.48	152.52	153.48	152.52	57866	0.6309
2016-03-21	153.96	153.96	153.96	152.04	27687	0.3135
2016-03-22	152.52	153.48	153.48	151.08	29303	-0.9375
2016-03-23	153.48	152.52	153.48	152.04	29439	0.6309
2016-03-24	152.52	152.04	153.0	151.08	25198	-0.627
2016-03-25	152.04	152.52	153.0	151.08	10970	-0.3155
2016-03-28	153.0	152.04	153.0	151.08	15857	0.6329
2016-03-29	153.0	152.52	153.48	152.04	19152	0.0
2016-03-30	155.41	152.52	155.89	152.52	46113	1.5723
2016-03-31	155.89	155.89	156.85	153.0	54094	0.3096
2016-04-01	152.52	154.92	154.92	151.56	34544	-2.1605
2016-04-06	147.71	149.63	150.11	147.71	63133	-3.1546
2016-04-07	148.67	149.15	149.15	146.75	35933	0.6515
2016-04-08	151.56	148.19	152.04	148.19	42324	1.9417
2016-04-11	152.52	150.11	153.0	149.63	23189	0.6349
2016-04-12	152.52	151.56	153.48	151.56	14877	0.0
2016-04-13	155.41	153.96	155.89	153.48	40333	1.8927
2016-04-14	155.41	155.89	156.37	153.96	31377	0.0
2016-04-15	153.48	151.08	153.96	150.11	50339	-1.2384
2016-04-18	152.04	152.04	152.52	151.56	20876	-0.9404
